station_name,time,total_traffic
七堡站,2019-01-02,15282
三坝站,2019-01-02,28988
三墩站,2019-01-02,24233
下沙江滨站,2019-01-02,18554
下沙西站,2019-01-02,13853
中医药大学站,2019-01-02,21260
中河北路站,2019-01-02,26177
丰潭路站,2019-01-02,32714
临平站,2019-01-02,46194
乔司南站,2019-01-02,9081
乔司站,2019-01-02,20084
九和路站,2019-01-02,36538
九堡站,2019-01-02,20460
云水站,2019-01-02,19281
人民广场站,2019-01-02,23402
人民路站,2019-01-02,20372
余杭高铁站,2019-01-02,9210
凤起路A站,2019-01-02,49822
凤起路B站,2019-01-02,22310
南星桥站,2019-01-02,23845
南苑站,2019-01-02,16789
古翠路站,2019-01-02,40598
城星路站,2019-01-02,31559
城站,2019-01-02,68527
墩祥街站,2019-01-02,22692
复兴路站,2019-01-02,8429
婺江路站,2019-01-02,20399
学院路站,2019-01-02,33549
定安路站,2019-01-02,44528
客运中心站,2019-01-02,52337
市民中心站,2019-01-02,31853
庆春广场站,2019-01-02,34236
庆菱路站,2019-01-02,22682
建国北路站,2019-01-02,30703
建设一路站,2019-01-02,13070
建设三路站,2019-01-02,20467
彭埠站,2019-01-02,46013
打铁关站,2019-01-02,44307
振宁路站,2019-01-02,26666
文新站,2019-01-02,28423
文泽路站,2019-01-02,36402
文海南路站,2019-01-02,33484
新塘站,2019-01-02,12404
新风站,2019-01-02,10287
景芳站,2019-01-02,32637
曹家桥站,2019-01-02,8922
朝阳站,2019-01-02,14611
杜甫村站,2019-01-02,16378
杨家墩站,2019-01-02,12144
杭发厂站,2019-01-02,20005
武林广场站,2019-01-02,52344
武林门站,2019-01-02,32312
水澄桥站,2019-01-02,12897
江锦路站,2019-01-02,30144
江陵路站,2019-01-02,74391
沈塘桥站,2019-01-02,37682
浦沿站,2019-01-02,13743
湘湖站,2019-01-02,20746
滨和路站,2019-01-02,27402
滨康路站,2019-01-02,13590
潘水站,2019-01-02,11542
火车东站,2019-01-02,192040
甬江路站,2019-01-02,6503
白洋站,2019-01-02,10857
盈丰路站,2019-01-02,22679
翁梅站,2019-01-02,16425
联庄站,2019-01-02,20158
良渚站,2019-01-02,12891
虾龙圩站,2019-01-02,20276
西兴站,2019-01-02,38122
西湖文化广场站,2019-01-02,50910
近江站,2019-01-02,42534
金家渡站,2019-01-02,23339
金沙湖站,2019-01-02,43321
钱江世纪城站,2019-01-02,23924
钱江路站,2019-01-02,41113
闸弄口站,2019-01-02,41042
飞虹路站,2019-01-02,21354
高沙路站,2019-01-02,20517
龙翔桥站,2019-01-02,84903
