station_name,time,total_traffic,ID,线路,站点,餐饮服务,购物服务,生活服务,体育休闲服务,医疗保健服务,住宿服务,风景名胜,政府机构及社会团体,科教文化服务,交通枢纽,金融保险服务,公司企业,公共设施,生活类,公司,产业园区,楼宇相关,住宅区
七堡站,2019-01-01,9481.0,17.0,1.0,七堡站,35.0,50.0,51.0,6.0,8.0,0.0,0.0,14.0,17.0,24.0,2.0,19.0,0.0,136.0,35.0,0.0,0.0,8.0
七堡站,2019-01-02,15282.0,17.0,1.0,七堡站,35.0,50.0,51.0,6.0,8.0,0.0,0.0,14.0,17.0,24.0,2.0,19.0,0.0,136.0,35.0,0.0,0.0,8.0
七堡站,2019-01-03,15379.0,17.0,1.0,七堡站,35.0,50.0,51.0,6.0,8.0,0.0,0.0,14.0,17.0,24.0,2.0,19.0,0.0,136.0,35.0,0.0,0.0,8.0
七堡站,2019-01-04,15401.0,17.0,1.0,七堡站,35.0,50.0,51.0,6.0,8.0,0.0,0.0,14.0,17.0,24.0,2.0,19.0,0.0,136.0,35.0,0.0,0.0,8.0
七堡站,2019-01-05,10281.0,17.0,1.0,七堡站,35.0,50.0,51.0,6.0,8.0,0.0,0.0,14.0,17.0,24.0,2.0,19.0,0.0,136.0,35.0,0.0,0.0,8.0
七堡站,2019-01-06,9502.0,17.0,1.0,七堡站,35.0,50.0,51.0,6.0,8.0,0.0,0.0,14.0,17.0,24.0,2.0,19.0,0.0,136.0,35.0,0.0,0.0,8.0
七堡站,2019-01-07,14995.0,17.0,1.0,七堡站,35.0,50.0,51.0,6.0,8.0,0.0,0.0,14.0,17.0,24.0,2.0,19.0,0.0,136.0,35.0,0.0,0.0,8.0
七堡站,2019-01-08,15667.0,17.0,1.0,七堡站,35.0,50.0,51.0,6.0,8.0,0.0,0.0,14.0,17.0,24.0,2.0,19.0,0.0,136.0,35.0,0.0,0.0,8.0
七堡站,2019-01-09,15217.0,17.0,1.0,七堡站,35.0,50.0,51.0,6.0,8.0,0.0,0.0,14.0,17.0,24.0,2.0,19.0,0.0,136.0,35.0,0.0,0.0,8.0
七堡站,2019-01-10,15816.0,17.0,1.0,七堡站,35.0,50.0,51.0,6.0,8.0,0.0,0.0,14.0,17.0,24.0,2.0,19.0,0.0,136.0,35.0,0.0,0.0,8.0
七堡站,2019-01-11,15185.0,17.0,1.0,七堡站,35.0,50.0,51.0,6.0,8.0,0.0,0.0,14.0,17.0,24.0,2.0,19.0,0.0,136.0,35.0,0.0,0.0,8.0
七堡站,2019-01-12,10028.0,17.0,1.0,七堡站,35.0,50.0,51.0,6.0,8.0,0.0,0.0,14.0,17.0,24.0,2.0,19.0,0.0,136.0,35.0,0.0,0.0,8.0
七堡站,2019-01-13,9415.0,17.0,1.0,七堡站,35.0,50.0,51.0,6.0,8.0,0.0,0.0,14.0,17.0,24.0,2.0,19.0,0.0,136.0,35.0,0.0,0.0,8.0
七堡站,2019-01-14,15376.0,17.0,1.0,七堡站,35.0,50.0,51.0,6.0,8.0,0.0,0.0,14.0,17.0,24.0,2.0,19.0,0.0,136.0,35.0,0.0,0.0,8.0
七堡站,2019-01-15,15288.0,17.0,1.0,七堡站,35.0,50.0,51.0,6.0,8.0,0.0,0.0,14.0,17.0,24.0,2.0,19.0,0.0,136.0,35.0,0.0,0.0,8.0
七堡站,2019-01-16,15801.0,17.0,1.0,七堡站,35.0,50.0,51.0,6.0,8.0,0.0,0.0,14.0,17.0,24.0,2.0,19.0,0.0,136.0,35.0,0.0,0.0,8.0
七堡站,2019-01-17,16486.0,17.0,1.0,七堡站,35.0,50.0,51.0,6.0,8.0,0.0,0.0,14.0,17.0,24.0,2.0,19.0,0.0,136.0,35.0,0.0,0.0,8.0
七堡站,2019-01-18,16922.0,17.0,1.0,七堡站,35.0,50.0,51.0,6.0,8.0,0.0,0.0,14.0,17.0,24.0,2.0,19.0,0.0,136.0,35.0,0.0,0.0,8.0
七堡站,2019-01-19,10961.0,17.0,1.0,七堡站,35.0,50.0,51.0,6.0,8.0,0.0,0.0,14.0,17.0,24.0,2.0,19.0,0.0,136.0,35.0,0.0,0.0,8.0
七堡站,2019-01-20,10231.0,17.0,1.0,七堡站,35.0,50.0,51.0,6.0,8.0,0.0,0.0,14.0,17.0,24.0,2.0,19.0,0.0,136.0,35.0,0.0,0.0,8.0
